tweet_text,user_id,hashtags,time,url
"Listen!!! Just give me all your money and surrender your sovereignty and let us smart people take care of 

-the coming ice age😡

-I mean global warming😡

-I mean climate change😡

 https://t.co/uZA0SqFf1N",1634331214726266881,,2023-03-10 23:11:40 +0000 +0000,https://twitter.com/drscott_atlanta/status/1634331214726266881
"It’s better that Joe Rogan Says it 🤷🏾‍♂️ Climate Change my a$$, They trying to have a real life Hunger games out here. https://t.co/zfQNLZxHFi",1634342086458654721,,2023-03-10 23:54:52 +0000 +0000,https://twitter.com/BlackAliensXyz/status/1634342086458654721
Bet you can't name a greater scam than 'climate change.',1634335207846469632,,2023-03-10 23:27:32 +0000 +0000,https://twitter.com/Synchro2021/status/1634335207846469632
"CO2 is slowly Rissing
Despite the Lockdowns!
Despite Renewables!
But there has been No
Warming for the Past
15years+...
Climate Change
A FOOLS FOLLY https://t.co/bsb16gBRAr",1634326693367394305,,2023-03-10 22:53:42 +0000 +0000,https://twitter.com/JackJsherebkin/status/1634326693367394305
Thank goodness we have a president that takes climate change seriously. https://t.co/cLt81MMXqJ,1634323098441768961,,2023-03-10 22:39:25 +0000 +0000,https://twitter.com/rhinosoros/status/1634323098441768961
"Do you care about climate change?

Then you definitely should get this book. https://t.co/H75xVOmiYJ",1634342522196467713,,2023-03-10 23:56:36 +0000 +0000,https://twitter.com/GlobalEcoGuy/status/1634342522196467713
"BIDEN: Silicon Valley Bank was unvaccinated and collapsed due to climate change.

(satire) https://t.co/5sTdgqtohL",1634323681651335183,,2023-03-10 22:41:44 +0000 +0000,https://twitter.com/BitcoinIsSaving/status/1634323681651335183
Isn’t strange that as they started to spray chemicals into our atmosphere they simultaneously claimed climate change was happening?,1634323110949429248,,2023-03-10 22:39:28 +0000 +0000,https://twitter.com/WakeAwake1/status/1634323110949429248
Climate change is definitely not a thing. @lbc https://t.co/OeABz4CFQE,1634330273650180096,,2023-03-10 23:07:56 +0000 +0000,https://twitter.com/DavidAHoward/status/1634330273650180096
☝️😌 “Don’t forget to conserve water Cali… Climate change is real…😁,1634314616598822912,,2023-03-10 22:05:43 +0000 +0000,https://twitter.com/SeavelloJoshua/status/1634314616598822912
"@clairebubblepop And David Attenborough cancelled for pointing out impact of climate change.

But yes, total BBC implosion.",1634325793680547840,,2023-03-10 22:50:08 +0000 +0000,https://twitter.com/dcpart/status/1634325793680547840
"We've learned that an existential threat about climate change is a made up threat to cause unnecessary fear.

And for some to profit from.",1634322433674035200,,2023-03-10 22:36:47 +0000 +0000,https://twitter.com/PatriotCause1/status/1634322433674035200
"If you think liberalism and reform will save you from climate change, you're not serious about climate change.",1634335426759520256,,2023-03-10 23:28:24 +0000 +0000,https://twitter.com/SignsClear/status/1634335426759520256
"American universities are pursuing fairness the wrong way: Drop legacy admissions – not standardised exams

“Just as smashing thermometers does not prevent climate change, so abandoning the measurement of educational inequality will not magic it away.”

https://t.co/7MHdpwH8pn https://t.co/q00AkeNLbe",1634331192525991936,,2023-03-10 23:11:35 +0000 +0000,https://twitter.com/SteveStuWill/status/1634331192525991936
"The gas of life is Carbon Dioxide - it is life giving &amp; not a  danger. 

85% of bushfires are caused by humans deliberately lighting them. 

They conveniently blame climate change which is absolute bull. 

All to make us believe the climate lie &amp; bring in climate/social credits.",1634334489571893248,,2023-03-10 23:24:41 +0000 +0000,https://twitter.com/VDejan0000/status/1634334489571893248
"FOLLOW THE SCIENCE.  Liberals say that. But they pick &amp; choose what science to follow. 

With climate change they claim 99% of scientists agree.  Which isn’t true.

But they strangely avoid science when preach about pregnant men.  Or when insisting a fetus is human.",1634334786054438918,,2023-03-10 23:25:52 +0000 +0000,https://twitter.com/Admone7/status/1634334786054438918
"@Russputin2 @CJHarvey56 @AlboMP Yes, but they've just approved over 100 new gas projects, with more new coal projects to come, as the Earth teeters on the edge of Catastrophic climate change! There's no point in making Australia a better place to live, if we and our food supplies are wiped out by climate change",1634326199249047552,,2023-03-10 22:51:44 +0000 +0000,https://twitter.com/ann_meharg/status/1634326199249047552
"No question: number one book banning state in the country.

Number one in rate of increase for homeowners insurance 

Number one risk of shore loss and aquifer incursion from climate change 

Number one transporter of asylum seeking migrants from other states to other states",1634335154977251328,,2023-03-10 23:27:20 +0000 +0000,https://twitter.com/DrDinD/status/1634335154977251328
"I want my reparation money for all of the money the government has wasted of my hard-earned tax dollars including all tax dollars that went to illegal aliens, foreign countries and all of the ghettos. This is a bigger scam than that climate change bullshit #Reparations #SCAM #FJB",1634319992308023296,"Reparations,SCAM,FJB",2023-03-10 22:27:05 +0000 +0000,https://twitter.com/grumpy_sicilian/status/1634319992308023296
"Age of Wonder portrait &amp; interview series for @BiBresearch

Introducing Owen 13

“It's too late now for climate change.  We cannot stop it. It is inevitably going to happen. It is too late. However, it is not too late to dial down the consequences of climate change.” https://t.co/KIAuUu3wcd",1634330925373718529,,2023-03-10 23:10:31 +0000 +0000,https://twitter.com/tarlyn/status/1634330925373718529
"@SpeakerMcCarthy You know what else we need - for today’s @GOP to stop denying climate change. 

It’s real",1634323237097340928,,2023-03-10 22:39:58 +0000 +0000,https://twitter.com/lfishgirl67/status/1634323237097340928
"3/ health care, education, science and labor prgms. Seeking tough requirements on welfare recipients and the repeal of fed funds to fight COVID and climate change, the conservatives’ wish list appeared to complicate the work to clinch a deal and avert a looming fiscal calamity.”",1634310473154981888,,2023-03-10 21:49:15 +0000 +0000,https://twitter.com/typo_cat/status/1634310473154981888
"@Mysteron1959 @JailbaitTV1 According to BBC Weather the Spring Average Temperatures in Tomintoul on Day 10 of Spring are SADHT 2.2000°/SADLT -3.6000° which is amazingly low and demonstrates effectively how Scotland isn't affected by Climate Change 
#CauldToul
#ColdPlanet 
#ColdPlanetPhase3 https://t.co/LIlAHRpnfH",1634319461674090497,"CauldToul,ColdPlanet,ColdPlanetPhase3",2023-03-10 22:24:58 +0000 +0000,https://twitter.com/TheTartanDalek/status/1634319461674090497
@RyanMaue If only it were possible to profit off climate change,1634339258734346240,,2023-03-10 23:43:38 +0000 +0000,https://twitter.com/crazymanjustin/status/1634339258734346240
"@RyanMaue 😂🤣🤡 the planet is at stake hahahaha now that's funny. throw money at climate change, that'll solve it! How's that working out? Activists talking, bankers walking (away with the money) 💀",1634321216038215691,,2023-03-10 22:31:56 +0000 +0000,https://twitter.com/arihiraaibi/status/1634321216038215691
Really grateful to receive this fellowship. Fellowships like these make the impossible possible. I’ll be moderating my first journalism panel on climate change and culture at SEJ this year.,1634337644858540033,,2023-03-10 23:37:13 +0000 +0000,https://twitter.com/becordera/status/1634337644858540033
"Boy oh boy! My new Christian substack is gonna trigger the woke social justice warriors, ukraine loving, climate change activists, people with pronouns and those who believe in more than two genders!! 

Read about the 4 Horses of Apocalypse here! 

LINK: https://t.co/6WwA8utu7L https://t.co/UcEiUsvKnG",1634331122502094854,,2023-03-10 23:11:18 +0000 +0000,https://twitter.com/_aussie17/status/1634331122502094854
"@BBCNews A freelance presenter isn't allowed to tell the truth, A well respected natural historian and national treasure isn't allowed to mention climate change, but Fiona Bruce is allowed to trivialise domestic abuse because the Dad of an ex tory MP only broke his wifes nose once?",1634333174078603265,,2023-03-10 23:19:27 +0000 +0000,https://twitter.com/DrinkingLion/status/1634333174078603265
"Right. Idiots on the BBC board decided that Attenborough is political in talking about climate change and are won't  air the programme? David Attenborough?  Nuts as well as nasty. How are they going to run this in the 
mail, express and sun? National treasure is a pinko?",1634322414132686850,,2023-03-10 22:36:42 +0000 +0000,https://twitter.com/AdamSharpe15/status/1634322414132686850
"@Booth5thDegree @CNN @Kaepernick7 Oh, there is no demographic I am most suspicious of than adoptive parents. Like fossil fuel companies setting climate change policy or men lecturing the boardroom about patriarchy—you have vested interests, sit the discussion out.",1634333404887158784,,2023-03-10 23:20:22 +0000 +0000,https://twitter.com/lucehoneychurch/status/1634333404887158784
